cantonLabel,municipalityLabel,coatOfArmsImage
Canton of Aargau,Aarau,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Aarau%20COA.svg
Canton of Aargau,Aarburg,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Aarburg%20COA.svg
Canton of Aargau,Abtwil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Abtwil%20AG%20COA.svg
Canton of Aargau,Ammerswil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Ammerswil%20COA.svg
Canton of Aargau,Aristau,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Aristau%20COA.svg
Canton of Aargau,Arni,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Arni%20AG%20COA.svg
Canton of Aargau,Auenstein,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Auenstein%20COA.svg
Canton of Aargau,Auw,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Auw%20AG%20COA.svg
Canton of Aargau,Bad Zurzach,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Bad%20Zurzach%20COA.svg
Canton of Aargau,Baden,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Baden%20AG.svg
Canton of Aargau,Baldingen,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Baldingen%20AG.svg
Canton of Aargau,Beinwil (Freiamt),http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Beinwil%20%28Freiamt%29%20COA.svg
Canton of Aargau,Beinwil am See,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Beinwil%20am%20See%20COA.svg
Canton of Aargau,Bellikon,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Bellikon%20COA.svg
Canton of Aargau,Bergdietikon,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Bergdietikon%20COA.svg
Canton of Aargau,Berikon,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Berikon%20COA.svg
Canton of Aargau,Besenbüren,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Besenb%C3%BCren%20COA.svg
Canton of Aargau,Bettwil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Bettwil%20COA.svg
Canton of Aargau,Biberstein,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Biberstein%20COA.svg
Canton of Aargau,Birmenstorf,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Birmenstorf%20COA.svg
Canton of Aargau,Birr,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Birr%20AG%20COA.svg
Canton of Aargau,Birrhard,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Birrhard.svg
Canton of Aargau,Birrwil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Birrwil%20COA.svg
Canton of Aargau,Boniswil,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Boniswil.svg
Canton of Aargau,Boswil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Boswil%20COA.svg
Canton of Aargau,Bottenwil,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Bottenwil.svg
Canton of Aargau,Bremgarten,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Bremgarten%20AG%20COA.svg
Canton of Aargau,Brittnau,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Brittnau.svg
Canton of Aargau,Brugg,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Brugg%20COA.svg
Canton of Aargau,Brunegg,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Brunegg%20COA.svg
Canton of Aargau,Buchs,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Buchs%20AG.svg
Canton of Aargau,Buttwil,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Buttwil.svg
Canton of Aargau,Böbikon,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20B%C3%B6bikon.svg
Canton of Aargau,Böttstein,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20B%C3%B6ttstein%20COA.svg
Canton of Aargau,Bözberg,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20B%C3%B6zberg%20COA.svg
Canton of Aargau,Böztal,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20B%C3%B6ztal%20COA.svg
Canton of Aargau,Bünzen,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20B%C3%BCnzen%20AG.svg
Canton of Aargau,Büttikon,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20B%C3%BCttikon.svg
Canton of Aargau,Densbüren,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Densb%C3%BCren.svg
Canton of Aargau,Dietwil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Dietwil%20COA.svg
Canton of Aargau,Dintikon,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Dintikon%20COA.svg
Canton of Aargau,Dottikon,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Dottikon.svg
Canton of Aargau,Döttingen,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Doettingen%20AG.svg
Canton of Aargau,Dürrenäsch,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20D%C3%BCrren%C3%A4sch.svg
Canton of Aargau,Eggenwil,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Eggenwil.svg
Canton of Aargau,Egliswil,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Egliswil.svg
Canton of Aargau,Ehrendingen,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Ehrendingen.svg
Canton of Aargau,Eiken,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Eiken.svg
Canton of Aargau,Endingen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Endingen%20COA.svg
Canton of Aargau,Ennetbaden,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Ennetbaden.svg
Canton of Aargau,Erlinsbach,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Erlinsbach%20AG%20COA.svg
Canton of Aargau,Fahrwangen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Fahrwangen%20COA.svg
Canton of Aargau,Fischbach-Göslikon,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Fischbach-G%C3%B6slikon%20COA.svg
Canton of Aargau,Fisibach,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Fisibach%20COA.svg
Canton of Aargau,Fislisbach,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Fislisbach.svg
Canton of Aargau,Freienwil,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Freienwil.svg
Canton of Aargau,Frick,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Frick%20AG.svg
Canton of Aargau,Full-Reuenthal,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Full-Reuenthal%20COA.svg
Canton of Aargau,Gansingen,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Gansingen.svg
Canton of Aargau,Gebenstorf,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Gebenstorf%20AG.svg
Canton of Aargau,Geltwil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Geltwil%20COA.svg
Canton of Aargau,Gipf-Oberfrick,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Gipf-Oberfrick.svg
Canton of Aargau,Gontenschwil,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Gontenschwil.svg
Canton of Aargau,Gränichen,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Gr%C3%A4nichen%20AG.svg
Canton of Aargau,Habsburg,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Habsburg%20AG.svg
Canton of Aargau,Hallwil,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Hallwil.svg
Canton of Aargau,Hausen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Hausen%20AG%20COA.svg
Canton of Aargau,Hellikon,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Hellikon%20AG.svg
Canton of Aargau,Hendschiken,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Hendschiken%20COA.svg
Canton of Aargau,Herznach-Ueken,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Herznach-Ueken%20COA.svg
Canton of Aargau,Hirschthal,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Hirschthal%20AG.svg
Canton of Aargau,Holderbank,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Holderbank.svg
Canton of Aargau,Holziken,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Holziken.svg
Canton of Aargau,Hunzenschwil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Hunzenschwil%20COA.svg
Canton of Aargau,Hägglingen,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20H%C3%A4gglingen.svg
Canton of Aargau,Islisberg,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Islisberg%20AG.svg
Canton of Aargau,Jonen,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Jonen%20AG.svg
Canton of Aargau,Kaiseraugst,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Kaiseraugst%20AG.svg
Canton of Aargau,Kaiserstuhl,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Kaiserstuhl%20COA.svg
Canton of Aargau,Kaisten,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Kaisten%20AG.svg
Canton of Aargau,Kallern,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Kallern%20COA.svg
Canton of Aargau,Killwangen,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Killwangen.svg
