cantonId,cantonLabel,municipalityId,municipalityLabel
Q12713,Canton of Thurgau,Q69131,Aadorf
Q11972,Canton of Aargau,Q14274,Aarau
Q11911,Canton of Berne,Q64113,Aarberg
Q11972,Canton of Aargau,Q64165,Aarburg
Q11911,Canton of Berne,Q69222,Aarwangen
Q11972,Canton of Aargau,Q69219,Abtwil
Q12771,Canton of Vaud,Q30986,Aclens
Q12724,Canton of Ticino,Q68358,Acquarossa
Q11911,Canton of Berne,Q68994,Adelboden
Q12121,Canton of Lucerne,Q14563,Adligenswil
Q11943,Canton of Zürich,Q68210,Adliswil
Q11929,Canton of Solothurn,Q68384,Aedermannsdorf
Q11911,Canton of Berne,Q68376,Aefligen
Q11911,Canton of Berne,Q69389,Aegerten
Q12146,Canton of Basel-Landschaft,Q68367,Aesch
Q12121,Canton of Lucerne,Q7120,Aesch
Q11943,Canton of Zürich,Q68342,Aesch
Q11929,Canton of Solothurn,Q68324,Aeschi
Q11911,Canton of Berne,Q68327,Aeschi bei Spiez
Q11943,Canton of Zürich,Q64945,Aeugst am Albis
Q12713,Canton of Thurgau,Q65800,Affeltrangen
Q11943,Canton of Zürich,Q68290,Affoltern am Albis
Q11911,Canton of Berne,Q65169,Affoltern im Emmental
Q834,Canton of Valais,Q66913,Agarn
Q12771,Canton of Vaud,Q43188,Agiez
Q12724,Canton of Ticino,Q67109,Agno
Q12771,Canton of Vaud,Q43195,Aigle
Q11917,Canton of Geneva,Q65280,Aire-la-Ville
Q12724,Canton of Ticino,Q69265,Airolo
Q12121,Canton of Lucerne,Q14584,Alberswil
Q834,Canton of Valais,Q69889,Albinen
Q11925,Canton of the Grisons,Q15890943,Albula/Alvra
Q11911,Canton of Berne,Q66945,Alchenstorf
Q12771,Canton of Vaud,Q43201,Allaman
Q12755,Canton of Jura,Q25333,Alle
Q11911,Canton of Berne,Q67432,Allmendingen bei Bern
Q12146,Canton of Basel-Landschaft,Q64727,Allschwil
Q12573,Canton of Obwalden,Q69296,Alpnach
Q12433,Canton of Schwyz,Q66231,Alpthal
Q12121,Canton of Lucerne,Q14585,Altbüron
Q12404,Canton of Uri,Q68150,Altdorf
Q12433,Canton of Schwyz,Q69625,Altendorf
Q11943,Canton of Zürich,Q65929,Altikon
Q12121,Canton of Lucerne,Q14586,Altishofen
Q12713,Canton of Thurgau,Q69237,Altnau
Q12724,Canton of Ticino,Q67010,Alto Malcantone
Q12746,Canton of St. Gallen,Q68281,Altstätten
Q12746,Canton of St. Gallen,Q65679,Amden
Q12713,Canton of Thurgau,Q65787,Amlikon-Bissegg
Q11972,Canton of Aargau,Q65198,Ammerswil
Q12713,Canton of Thurgau,Q69768,Amriswil
Q11911,Canton of Berne,Q64776,Amsoldingen
Q11925,Canton of the Grisons,Q64359,Andeer
Q11943,Canton of Zürich,Q68423,Andelfingen
Q12404,Canton of Uri,Q64019,Andermatt
Q12746,Canton of St. Gallen,Q67726,Andwil
Q11917,Canton of Geneva,Q69842,Anières
Q834,Canton of Valais,Q70336,Anniviers
Q12146,Canton of Basel-Landschaft,Q66803,Anwil
Q12094,Canton of Appenzell Innerrhoden,Q67125,Appenzell
Q12724,Canton of Ticino,Q68792,Aranno
Q834,Canton of Valais,Q68113,Arbaz
Q12724,Canton of Ticino,Q69788,Arbedo-Castione
Q12146,Canton of Basel-Landschaft,Q64702,Arboldswil
Q12713,Canton of Thurgau,Q64156,Arbon
Q11911,Canton of Berne,Q11729,Arch
Q834,Canton of Valais,Q69556,Ardon
Q12146,Canton of Basel-Landschaft,Q66564,Arisdorf
Q11972,Canton of Aargau,Q64752,Aristau
Q12146,Canton of Basel-Landschaft,Q581647,Arlesheim
Q12771,Canton of Vaud,Q43206,Arnex-sur-Nyon
Q12771,Canton of Vaud,Q43212,Arnex-sur-Orbe
Q11972,Canton of Aargau,Q64324,Arni
Q11911,Canton of Berne,Q67569,Arni
Q12724,Canton of Ticino,Q68449,Arogno
Q11925,Canton of the Grisons,Q63954,Arosa
Q12433,Canton of Schwyz,Q69742,Arth
Q12771,Canton of Vaud,Q43218,Arzier-Le Muids
Q12724,Canton of Ticino,Q63992,Ascona
Q12771,Canton of Vaud,Q43225,Assens
Q12640,Canton of Fribourg,Q38652,Attalens
Q12404,Canton of Uri,Q69279,Attinghausen
Q11911,Canton of Berne,Q67257,Attiswil
Q12746,Canton of St. Gallen,Q66254,Au
Q12771,Canton of Vaud,Q43232,Aubonne
Q12640,Canton of Fribourg,Q70438,Auboranges
Q11972,Canton of Aargau,Q64504,Auenstein
Q12146,Canton of Basel-Landschaft,Q66515,Augst
Q834,Canton of Valais,Q68022,Ausserberg
Q11911,Canton of Berne,Q67598,Auswil
Q12640,Canton of Fribourg,Q70180,Autigny
Q11972,Canton of Aargau,Q64420,Auw
Q12724,Canton of Ticino,Q70603,Avegno Gordevio
Q12771,Canton of Vaud,Q43236,Avenches
Q11925,Canton of the Grisons,Q69196,Avers
Q12640,Canton of Fribourg,Q67073,Avry
Q11917,Canton of Geneva,Q69200,Avully
Q11917,Canton of Geneva,Q68174,Avusy
Q834,Canton of Valais,Q70167,Ayent
Q11933,Canton of Zug,Q64087,Baar
Q11943,Canton of Zürich,Q69887,Bachenbülach
Q11943,Canton of Zürich,Q70273,Bachs
Q12746,Canton of St. Gallen,Q95759,Bad Ragaz
Q11972,Canton of Aargau,Q64186,Bad Zurzach
Q11972,Canton of Aargau,Q63939,Baden
Q11972,Canton of Aargau,Q65381,Baldingen
Q12724,Canton of Ticino,Q70141,Balerna
Q12746,Canton of St. Gallen,Q65508,Balgach
Q12771,Canton of Vaud,Q43239,Ballaigues
Q12771,Canton of Vaud,Q43240,Ballens
Q12121,Canton of Lucerne,Q7096,Ballwil
